#[1] Location, [2] Parameter, [3] Interesting, [4] Unimodal, [5] Convex, [6] Trivially Convex, [7] % Instances Interesting, [8] % Instances Unimodal, [9] % Instances Convex, [10] % Instances Trivially Convex, [11] Average number of modes per instance, [12] Fitness Distance Correlation (Median), [13] Fitness Distance Correlation (Q2.5), [14] Fitness Distance Correlation (Q97.5), [15] Average Instance Fitness Distance Correlation (Median), [16] Average Instance Fitness Distance Correlation (Q2.5), [17] Average Instance Fitness Distance Correlation (Q97.5)
scenarios/CaDiCaL/slices-BMC08, emaglueslow, 0, 1, 1, 0, 83.70473537604457, 92.89693593314763, 89.97214484679665, 10.445682451253482, 1.1030640668523677, 0.44062129276981343, -0.40519086189998055, 0.7378094617993299, 0.2225561674971097, 0.20398426238792033, 0.24090023301566307
scenarios/CaDiCaL/slices-BMC08, emajump, 0, 1, 1, 0, 79.24791086350974, 100.0, 99.86072423398329, 10.584958217270195, 1.0, 0.08757938310303162, -0.30562398093795545, 0.5265225325781094, 0.1538819987428153, 0.13624618729659319, 0.1723664687084424
scenarios/CaDiCaL/slices-BMC08, emasize, 0, 1, 1, 0, 78.8300835654596, 100.0, 99.86072423398329, 10.584958217270195, 1.0, 0.30197065752682645, -0.19956979770282784, 0.707178613091241, 0.15635058527359422, 0.13831290353615527, 0.17478263132810617
scenarios/CaDiCaL/slices-BMC08, hbrsizelim, 0, 1, 1, 0, 79.8050139275766, 98.46796657381616, 97.7715877437326, 10.584958217270195, 1.0208913649025069, 0.1463431073600019, -0.3254431328102799, 0.6171207076491583, 0.1559775462320443, 0.1385612925916985, 0.17279811448492696
scenarios/CaDiCaL/slices-BMC08, keepglue, 0, 1, 1, 0, 83.84401114206128, 89.97214484679665, 81.61559888579387, 10.584958217270195, 1.1768802228412256, 0.748534736591417, 0.5731406438172355, 0.8464656642668905, 0.20799128769897787, 0.19112279567142268, 0.22334317926062486
scenarios/CaDiCaL/slices-BMC08, keepsize, 0, 1, 1, 0, 83.983286908078, 90.66852367688021, 85.0974930362117, 10.445682451253482, 1.1643454038997214, 0.8696949994768156, 0.64374449271344, 0.9509371053291298, 0.23394984467303842, 0.2193807881813137, 0.2488877892870766
scenarios/CaDiCaL/slices-BMC08, minimizedepth, 0, 1, 1, 0, 79.8050139275766, 100.0, 98.60724233983287, 10.584958217270195, 1.0, 0.1436859591730815, -0.29540826472848364, 0.5320657193589674, 0.15986462804951143, 0.14326891251343585, 0.1776311720948657
scenarios/CaDiCaL/slices-BMC08, posize, 0, 1, 1, 0, 85.65459610027855, 86.90807799442896, 77.99442896935933, 10.445682451253482, 1.2033426183844012, 0.06681850121998202, -0.3258386607544061, 0.5647340615265717, 0.19245710863121976, 0.17592714839344042, 0.20823444309635772
scenarios/CaDiCaL/slices-BMC08, probeinit, 0, 1, 1, 0, 84.12256267409471, 94.98607242339833, 91.08635097493037, 10.445682451253482, 1.051532033426184, 0.34870973674440553, -0.2573419929027616, 0.8045652543982698, 0.21415494785412528, 0.1953769993587115, 0.23319594872770827
scenarios/CaDiCaL/slices-BMC08, probeint, 0, 1, 1, 0, 84.40111420612813, 92.20055710306406, 86.90807799442896, 10.445682451253482, 1.1295264623955432, 0.31053584280583046, -0.2960529397917927, 0.7923930365517059, 0.14370287231907647, 0.1274422843387999, 0.15988282493412714
scenarios/CaDiCaL/slices-BMC08, probemaxeff, 0, 1, 1, 0, 79.38718662952647, 100.0, 100.0, 10.584958217270195, 1.0, 0.30891992391348927, -0.18650689698910072, 0.6761725405943666, 0.15412678387362477, 0.13570171914406182, 0.1721842687930258
scenarios/CaDiCaL/slices-BMC08, probemineff, 0, 1, 1, 0, 79.8050139275766, 100.0, 100.0, 10.584958217270195, 1.0, 0.14694090222315703, -0.38238245867967285, 0.6800726871136803, 0.1588579002676285, 0.14136410566814436, 0.17570283875363069
scenarios/CaDiCaL/slices-BMC08, probereleff, 0, 1, 1, 0, 79.66573816155989, 100.0, 100.0, 10.584958217270195, 1.0, 0.2173521869279668, -0.2775934391535734, 0.546537607768705, 0.15251981917006963, 0.13533725335484909, 0.17083405976616642
scenarios/CaDiCaL/slices-BMC08, reduceinc, 0, 1, 1, 0, 84.81894150417827, 87.46518105849582, 81.89415041782729, 10.445682451253482, 1.2172701949860725, 0.3457062239623911, -0.03206417700631302, 0.702499990584019, 0.1889556265707898, 0.17319703573754155, 0.20502970672530946
scenarios/CaDiCaL/slices-BMC08, reduceinit, 0, 1, 1, 0, 86.35097493036211, 84.26183844011142, 66.01671309192201, 10.445682451253482, 1.2103064066852367, 0.694325313381395, 0.0967089504073646, 0.9408365771808861, 0.3558642104110471, 0.34140623717837815, 0.3707773868417998
scenarios/CaDiCaL/slices-BMC08, rephaseint, 0, 1, 1, 0, 81.75487465181058, 97.35376044568244, 94.84679665738162, 10.445682451253482, 1.032033426183844, 0.3021532472094137, -0.1899785330612922, 0.6675679765854271, 0.15274294376239464, 0.13538146345401225, 0.16889543209643404
scenarios/CaDiCaL/slices-BMC08, restartint, 0, 1, 1, 0, 87.74373259052925, 73.11977715877437, 67.27019498607241, 10.167130919220057, 1.511142061281337, 0.8716785891361718, 0.5062358648797958, 0.9610888159338548, 0.26879606388307975, 0.2527167055112424, 0.2852424603715361
