#[1] Location, [2] Parameter, [3] Interesting, [4] Unimodal, [5] Convex, [6] Trivially Convex, [7] % Instances Interesting, [8] % Instances Unimodal, [9] % Instances Convex, [10] % Instances Trivially Convex, [11] Average number of modes per instance, [12] Fitness Distance Correlation (Median), [13] Fitness Distance Correlation (Q2.5), [14] Fitness Distance Correlation (Q97.5), [15] Average Instance Fitness Distance Correlation (Median), [16] Average Instance Fitness Distance Correlation (Q2.5), [17] Average Instance Fitness Distance Correlation (Q97.5)
scenarios/CaDiCaL/slices-circuit-fuzz, emajump, 0, 1, 1, 0, 91.2521440823, 99.8284734134, 99.4854202401, 3.94511149228, 1.00171526587, 0.0550088406997, -0.403518665653, 0.564855162927, 0.153680191653, 0.135195816219, 0.170631182245
scenarios/CaDiCaL/slices-circuit-fuzz, emasize, 0, 1, 1, 0, 91.9382504288, 100.0, 100.0, 3.77358490566, 1.0, 0.0623539398138, -0.354242253338, 0.545162608138, 0.136149906655, 0.118993358499, 0.153882674654
scenarios/CaDiCaL/slices-circuit-fuzz, hbrsizelim, 0, 1, 1, 0, 90.2229845626, 100.0, 99.8284734134, 3.77358490566, 1.0, 0.123160473245, -0.391501262062, 0.652325436751, 0.141831498508, 0.122650856924, 0.160875326027
scenarios/CaDiCaL/slices-circuit-fuzz, keepglue, 1, 1, 1, 0, 97.2555746141, 33.6192109777, 18.0102915952, 3.43053173242, 2.29674099485, 0.796744331285, 0.704731056981, 0.861228415518, 0.428577632351, 0.419621962126, 0.437662802626
scenarios/CaDiCaL/slices-circuit-fuzz, keepsize, 1, 1, 1, 0, 97.7701543739, 29.5025728988, 20.5831903945, 3.08747855918, 2.31732418525, 0.936458400118, 0.69305368312, 0.974345862076, 0.487127535391, 0.478229614922, 0.495096088791
scenarios/CaDiCaL/slices-circuit-fuzz, minimizedepth, 0, 1, 1, 0, 91.9382504288, 100.0, 99.4854202401, 3.77358490566, 1.0, 0.096932535994, -0.388394984733, 0.557061797407, 0.159796555371, 0.143547762921, 0.176097119501
scenarios/CaDiCaL/slices-circuit-fuzz, posize, 0, 1, 1, 0, 98.1132075472, 8.2332761578, 7.20411663808, 3.2590051458, 3.12349914237, 0.521977934072, -0.38909312304, 0.851784277767, 0.24875097201, 0.240218775257, 0.258083782907
scenarios/CaDiCaL/slices-circuit-fuzz, probeinit, 0, 1, 1, 0, 92.6243567753, 100.0, 99.6569468268, 3.60205831904, 1.0, 0.236134622128, -0.197236181233, 0.645844252235, 0.139981447246, 0.122871718156, 0.159142730235
scenarios/CaDiCaL/slices-circuit-fuzz, probeint, 0, 1, 1, 0, 91.0806174957, 100.0, 99.4854202401, 3.60205831904, 1.0, 0.0618140173978, -0.436334516536, 0.514209137032, 0.137716215245, 0.120241105998, 0.15772134754
scenarios/CaDiCaL/slices-circuit-fuzz, probemaxeff, 0, 1, 1, 0, 91.7667238422, 100.0, 99.8284734134, 3.77358490566, 1.0, 0.0651648242651, -0.238163883016, 0.656053924158, 0.143615515486, 0.124313462998, 0.162005881542
